light,population,well_plate,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ancestor_id,treatment,note
27.5,28,F02_14,days,0.8079627967912717,0.15558520817449056,5.193056629683795,0.013869614750793013,0.3128212258795677,1.3031043677029757,anc5,P,NA
27.5,29,B10_15,days,0.7658154443980052,0.094698768,8.086857557274584,0.003951176,0.4644417013473113,1.0671891874486992,anc3,P,NA
27.5,29,D02_15,days,0.826256134,0.087522304,9.44052081,0.00251891,0.5477211003008544,1.1047911673167257,anc3,P,NA
27.5,29,E06_15,days,0.7236157533488436,0.071345796,10.142374129077533,0.002042012,0.4965615891677039,0.9506699175299834,anc3,P,NA
27.5,29,F04_15,days,0.7711016274456939,0.088927553,8.671121623,0.003227248,0.488094465,1.0541087898266919,anc3,P,NA
27.5,3,B03_15,days,1.6765820694396507,0.15646787694328615,10.71518385877601,0.001737879,1.1786314525659038,2.1745326863133974,cc1690,N,NA
27.5,3,C10_15,days,1.2938139880741322,0.17924940472489947,7.217954168717019,0.005482825,0.7233623822830719,1.8642655938651924,cc1690,N,NA
27.5,3,D09_15,days,1.411243979234716,0.21412477867685495,6.590755109965512,0.007108768,0.7298033684648674,2.0926845900045645,cc1690,N,NA
27.5,3,F09_15,days,1.2567282970498856,0.28179795428569177,4.459678567346136,0.020991707432228533,0.35992143859687875,2.1535351555028925,cc1690,N,NA
27.5,30,C03_15,days,1.0717127786605158,0.17869835145940322,5.997328850031323,0.009284343,0.5030148702982487,1.640410687022783,anc5,N,NA
27.5,30,C09_15,days,1.0759989831010326,0.26861760795213324,4.005690435947788,0.027904418360385146,0.22113786913961841,1.9308600970624468,anc5,N,NA
